"","X.1","X","Fire_ID","Fire_Year","Fire_Start","BurnDay","SnowAccDay","sdd","scf","tssm","sweMean","sweMedian","avgBio","cc","age","tri","ppt_tsm","tmax_tsm","RBR_median","RBR_quant","RBR_cv","FIRE_FINAL","size_class","dmc","ffmc","dc","pyroregion","ecoregion"
"1",1,1,"KLK9_2004_1508",2004,"2004-10-01",274,294,116,0.42,158,81.39260588,80.33333588,82.5408401489258,59.7905769348145,91.0957946777344,7.24659156799316,490.804659459793,17.8461699195233,491.7569191,558.397585992608,0.202867433,72,1,13.4762284472402,80.1498997762221,206.399096034759,0,"Lake Abitibi"
"2",2,2,"THU31_2005_1510",2005,"2005-07-26",206,292,104,0.43,102,59.92700134,42.88999939,107.234832763672,79.9476852416992,98.3065719604492,12.8873920440674,274.984037574944,18.5148565412322,322.6846793,465.45025009848,0.47082445,1428,2,44.3061083609115,87.8397544485327,226.280440212756,1,"Lake Nipigon"
"3",3,3,"TIM19_2005_1512",2005,"2005-07-15",195,308,98,0.37,97,51.85581556,34.75,34.906436920166,23.6929302215576,54.6067543029785,11.3950824737549,146.014569919416,20.1311765308525,202.6496423,287.188290863062,0.452248126,3200,2,64.0755221005683,92.0244086452643,343.686851532496,0,"Lake Abitibi"
"4",4,4,"CHA18_2005_1513",2005,"2005-07-18",198,272,95,0.38,103,71.09339736,67.16000366,76.5823287963867,54.1185874938965,92.6109848022461,5.36314153671265,163.795171633143,19.8356459669292,205.2069328,454.017722791352,0.696171939,60,1,77.557506094253,91.4823295309117,339.230324325997,0,"Lake Abitibi"
"5",5,5,"TIM7_2005_1515",2005,"2005-05-27",146,317,87,0.32,59,70.43967607,61.02999878,80.3264083862305,62.5608253479004,78.7727584838867,7.54751062393188,71.6121226999327,13.3530932430111,362.5522487,527.033219005409,0.452403516,449,1,35.6280294903268,92.3883211048409,109.958529391557,0,"Lake Abitibi"
"6",6,6,"TIM5_2005_1517",2005,"2005-05-27",146,264,92,0.34,54,65.73929989,60.63500214,81.5326385498047,55.6787490844727,80.8953170776367,28.0794696807861,63.7962281759528,13.4479400215217,242.2335682,423.318013094569,0.583836555,440,1,42.3181114415017,89.6313643529619,132.065864996784,0,"Lake Abitibi"
"7",7,7,"FOR14_2005_1514",2005,"2005-08-07",218,251,97,0.37,121,30.37253427,5.539999962,77.4803619384766,59.4845809936523,76.6519393920898,21.5653171539307,384.946207560101,20.254915752004,161.1080187,265.836731336764,0.505620062,430,1,30.49872022304,91.2993752307761,243.715043609107,1,"Pigeon River"
"8",8,8,"FOR24_2005_1516",2005,"2005-08-02",213,282,95,0.36,118,33.08059568,13.0425005,80.209587097168,58.701961517334,67.8437461853027,27.6148052215576,334.524579788393,19.9982580358929,216.7742916,321.732281504606,0.381056696,213,1,23.8927953283417,87.3800266316345,210.990295212507,1,"Pigeon River"
"9",9,9,"SLK40_2005_1534",2005,"2005-08-07",218,277,122,0.48,96,63.92028874,52.61999893,28.1924610137939,30.4382438659668,61.220760345459,9.19931507110596,334.641856035888,18.3127587223274,157.5775021,414.572029080233,0.888444126,100,1,21.2636468077807,87.8085313926292,161.209247349459,1,"Big Trout Lake"
"10",10,10,"SLK25_2005_1535",2005,"2005-07-12",192,277,102,0.46,90,54.67903675,37.54899979,84.2929763793945,70.4226150512695,102.3857421875,2.53960943222046,258.611280420062,17.0799002520806,288.7521984,424.778324792187,0.458884895,111,1,24.5219507433639,93.062632728482,68.6816360441763,1,"Big Trout Lake"
