"","Fire_ID","BurnDay"
"1","KLK9_2004_1508",274
"2","THU31_2005_1510",206
"3","HEA63_2005_1511",222
"4","TIM19_2005_1512",195
"5","CHA18_2005_1513",198
"6","TIM7_2005_1515",146
"7","TIM5_2005_1517",146
"8","FOR14_2005_1514",218
"9","FOR24_2005_1516",213
"10","SLK40_2005_1534",218
"11","SLK25_2005_1535",192
"12","NIP104_2005_1536",220
"13","WAW21_2003_1406",171
"14","SLK20_2003_1434",136
"15","SAU7_2003_1436",125
"16","RED65_2003_1440",168
"17","KLK5_2003_1495",139
"18","KLK9_2003_1496",126
"19","THU28_2003_1502",128
"20","WAW23_2003_1503",171
"21","THU66_2003_1537",173
"22","NIP112_2005_1518",219
"23","COC10_2005_1519",146
"24","NIP20_2005_1521",171
"25","NIP52_2005_1522",206
"26","THU30_2005_1525",205
"27","THU57_2005_1526",218
"28","THU67_2005_1528",219
"29","TIM56_2005_1529",198
"30","FOR18_2005_1520",212
"31","NIP80_2005_1523",229
"32","THU65_2005_1527",221
"33","SLK11_2007_1658",130
"34","DRY10_2007_1659",125
"35","NIP26_2007_1660",130
"36","THU39_2007_1661",133
"37","THU37_2007_1662",129
"38","SAU78_2006_1560",260
"39","SUD8_2006_1561",129
"40","NIP262_2006_1567",250
"41","THU113_2006_1568",250
"42","NIP406_2006_1569",256
"43","NIP322_2006_1573",251
"44","NIP391_2006_1575",257
"45","NIP70_2006_1583",194
"46","NIP257_2006_1604",250
"47","NIP245_2006_1605",250
"48","COC14_2006_1606",129
"49","NIP323_2006_1607",258
"50","NIP328_2006_1608",251
"51","NIP296_2006_1609",257
"52","THU189_2006_1610",257
"53","THU185_2006_1633",257
"54","THU144_2006_1638",259
"55","THU249_2006_1639",252
"56","THU163_2006_1640",257
"57","THU143_2006_1642",254
"58","NIP344_2006_1643",258
"59","NIP226_2006_1644",250
"60","NIP414_2006_1648",256
"61","COC8_2006_1649",129
"62","THU151_2006_1650",250
"63","NIP108_2006_1651",199
"64","THU176_2006_1652",250
"65","THU167_2006_1653",251
"66","COC9_2006_1654",129
"67","NIP411_2006_1657",255
"68","NIP338_2006_1664",254
"69","SLK48_2006_1681",242
"70","RED44_2006_1683",193
"71","NIP81_2006_1684",196
"72","COC34_2006_1686",215
"73","THU133_2006_1688",253
"74","THU192_2006_1689",257
"75","DRY79_2006_1692",201
