"","Fire_ID","lat","long","el","FIRE_START","Fire_Year","StartBurnDay","interp_date","month","dmc","ffmc","dc"
"1","NIP53_2001_1",52.84704758,-87.21309448,208.1702742,2001-06-09,2001,2001-06-09,2001-06-09,6,44.5105389171575,92.360300882595,135.593380507669
"2","NIP39_2001_2",52.80534211,-88.4442782,229.6236482,2001-06-09,2001,2001-06-09,2001-06-09,6,43.7402890470364,92.4080841185367,118.451871274383
"3","NIP52_2001_3",52.53058118,-87.5077521,253.8199275,2001-06-08,2001,2001-06-08,2001-06-08,6,41.8010466448292,92.2681125987304,124.393758717745
"4","NIP35_2001_5",51.56062192,-87.8183308,273.0459941,2001-06-09,2001,2001-06-09,2001-06-09,6,46.0544466232365,91.6340619155041,114.031117787258
"5","NIP24_2001_7",50.91328477,-86.99124602,297.6434196,2001-06-09,2001,2001-06-09,2001-06-09,6,45.2193626255517,91.2210206577283,125.077708372766
"6","SLK5_2002_12",54.39311672,-89.79030356,166.4921848,2002-06-27,2002,2002-07-06,2002-07-06,7,32.4912787137025,87.6555334489776,127.769293112932
"7","SLK6_2002_13",54.35433148,-91.45448897,211.0990615,2002-07-15,2002,2002-07-18,2002-07-18,7,37.6079858999956,86.4766729855145,247.859882128467
"8","SLK7_2002_14",54.32829994,-90.18209636,187.1179951,2002-07-15,2002,2002-07-15,2002-07-15,7,30.0918898190511,80.6287041869047,170.089282063735
"9","RED1_2002_15",54.25494365,-92.57621287,200.4779284,2002-07-16,2002,2002-07-17,2002-07-17,7,41.7713088213437,87.1996226739484,250.974426004271
"10","SLK1_2002_16",54.21531519,-91.33847831,218,2002-06-25,2002,2002-07-11,2002-07-11,7,53.3134224777955,91.3239753039388,202.687693919444
"11","SLK4_2002_17",54.16032795,-89.47780712,170.0174216,2002-06-27,2002,2002-07-06,2002-07-06,7,32.0687062188219,89.1350378152738,121.321813411349
"12","SLK8_2002_18",54.14698292,-89.89665794,198.080854,2002-07-15,2002,2002-07-21,2002-07-21,7,30.2723539482557,64.523444520244,211.186133487522
"13","SLK6_2001_37",54.30459095,-91.25430108,222.5672006,2001-07-19,2001,2001-07-19,2001-07-19,7,37.398652570761,89.7314350473217,178.485027286092
"14","SLK5_2001_38",54.20610286,-91.33678756,222.4860433,2001-07-20,2001,2001-07-20,2001-07-20,7,42.3948046146772,92.5576592555545,184.654561097778
"15","SLK3_2001_39",53.99956052,-91.35503524,252.1504549,2001-07-15,2001,2001-07-15,2001-07-15,7,24.6335924076604,89.6197368864321,156.89878046615
"16","NIP54_2001_40",53.5222012,-87.87330784,183.336399,2001-06-08,2001,2001-06-08,2001-06-08,6,34.2284231863955,92.2150411042152,110.705135621443
"17","NIP73_2001_41",53.39071137,-87.92124593,194.0833038,2001-07-20,2001,2001-07-20,2001-07-20,7,36.1695546930201,88.4964526758799,158.359342340711
"18","RED60_2001_42",53.2706496,-92.92383887,327.3697898,2001-07-20,2001,2001-07-20,2001-07-20,7,32.607072616169,88.3599242781782,206.390604711679
"19","SLK24_2001_43",52.64375262,-89.56805812,306.6471014,2001-06-09,2001,2001-06-09,2001-06-09,6,45.6133923592315,91.598301875228,106.672320011186
"20","SLK45_2001_44",52.60640508,-91.97562966,341.6108303,2001-07-19,2001,2001-07-19,2001-07-19,7,22.8072107749622,79.5409985676935,217.859182491501
"21","NIP22_2001_46",51.2079081,-86.88110887,241.9257463,2001-06-09,2001,2001-06-09,2001-06-09,6,46.4858653646211,91.4138812471212,118.586334362085
"22","NIP26_2001_47",51.14633756,-87.32463554,273.336689,2001-06-09,2001,2001-06-09,2001-06-09,6,46.3759708828677,91.3402908751611,117.078828184301
"23","COC15_2001_48",50.13274239,-81.14573358,222.9957919,2001-06-09,2001,2001-06-09,2001-06-09,6,30.7306778926676,91.5295911622725,159.993115323637
