"","Fire_ID","avg_cmi","avg_vpd"
"1","NIP53_2001_1",3.52,5.71
"2","NIP39_2001_2",4.08,5.23
"3","NIP52_2001_3",3.79,5.235
"4","NIP35_2001_5",3.24,5.6
"5","NIP24_2001_7",1.12,5.795
"6","KLK2_2001_10",4.49,3.86
"7","PEM3_2001_11",0.74,3.655
"8","SLK6_2001_37",-0.04,6.185
"9","SLK5_2001_38",1.79,5.55
"10","SLK3_2001_39",1.87,5.65333333333333
"11","NIP54_2001_40",1.87,5.54
"12","NIP73_2001_41",1.07,5.66
"13","RED60_2001_42",1.52,5.88333333333333
"14","SLK24_2001_43",4.52,5.44
"15","SLK45_2001_44",0.79,6.12333333333333
"16","NIP22_2001_46",1.62,5.83
"17","NIP26_2001_47",1.85,5.67
"18","COC15_2001_48",-1.66,6.495
"19","NIP77_2001_49",2.66,5.6675
"20","PET1_2001_50",-2.38,5.966
"21","SLK1_2001_63",2.12,5.5
"22","SLK4_2001_64",0.12,6.335
"23","RED61_2001_65",2.02,5.79333333333333
"24","NIP55_2001_66",2.91,4.915
"25","SLK44_2001_67",1.63,5.65333333333333
"26","NIP72_2001_68",0.68,5.48666666666667
"27","SLK47_2001_69",1.71,5.73666666666667
"28","NIP74_2001_70",1.03,5.63666666666667
"29","RED48_2001_72",0.09,6.02
"30","SLK5_2002_12",0.48,5.20333333333333
"31","SLK6_2002_13",0.49,5.39
"32","SLK7_2002_14",0.43,5.23666666666667
"33","RED1_2002_15",0.23,5.64333333333333
"34","SLK1_2002_16",0.45,5.42333333333333
"35","SLK4_2002_17",0.43,5.25666666666667
"36","SLK8_2002_18",0.41,5.25666666666667
"37","SLK2_2002_51",1.02,4.675
"38","SLK3_2002_52",1.02,4.675
"39","COC12_2002_53",0.5,5.27333333333333
"40","SLK11_2002_54",1.04,4.64
"41","SLK12_2002_55",1.01,4.755
"42","SLK36_2002_56",0.45,5.39
"43","SLK47_2002_73",2.86,5.4975
"44","COC19_2002_74",-0.08,6.64
"45","DRY10_2002_75",5.12,4.75333333333333
"46","NIP75_2002_76",3.09,4.69
"47","NIP16_2002_77",2.1,4.61
"48","NIP83_2002_88",0.75,5.37666666666667
"49","SLK31_2002_89",0.47,5.50333333333333
"50","RED39_2002_90",1.29,5.1
"51","RED40_2002_91",1.8,4.95
"52","RED47_2002_92",1.68,5.655
"53","NIP51_2002_94",1.48,5.485
"54","RED55_2002_95",0.49,5.8925
"55","NIP81_2002_96",2.48,6.01
"56","NIP38_2002_97",0.75,6.58666666666667
"57","COC9_2002_100",0,6.75333333333333
"58","THU16_2002_102",4.7,3.615
"59","NIP85_2002_103",1.1,5.575
"60","PEM9_2002_104",-0.87,7.632
"61","RED57_2002_163",1.05,5.18
"62","NIP55_2002_164",0.81,5.41333333333333
"63","SLK70_2002_166",0.68,5.64666666666667
"64","RED56_2002_167",1.27,5.2475
"65","RED23_2002_168",1.66,5.2825
"66","RED41_2002_169",1.71,5.2925
"67","RED21_2002_170",1.8,5.2775
"68","RED63_2002_171",1.88,5.2875
"69","SLK19_2002_172",2.41,5.155
"70","NIP54_2002_173",1.17,5.84666666666667
"71","NIP56_2002_174",0.96,5.98
"72","RED60_2002_175",2.11,5.4725
"73","NIP101_2002_176",0.48,5.28
"74","SLK21_2002_177",1,4.695
"75","SLK68_2002_178",0.5,5.56333333333333
"76","SLK54_2002_179",0.52,5.56333333333333
"77","NIP48_2002_180",0.47,5.39
"78","RED66_2002_181",0.39,5.74666666666667
"79","NIP47_2002_182",0.45,5.39
"80","SLK30_2002_184",0.47,5.60333333333333
"81","RED5_2002_185",1.76,4.95
"82","RED38_2002_186",1.03,5.18
"83","RED37_2002_187",1.06,5.18
"84","NIP79_2002_189",0.93,5.49333333333333
"85","RED34_2002_190",1.31,5.2475
"86","RED27_2002_191",1.56,5.3125
"87","SLK17_2002_193",2.81,5.565
"88","SLK4_2003_1401",-0.48,6.11
"89","NIP92_2003_1402",0.54,6.145
"90","SLK51_2003_1403",-0.82,6.285
"91","WAW21_2003_1406",0.35,5.92666666666667
"92","NIP68_2003_1407",0.74,5.79333333333333
"93","WAW13_2003_1409",-0.04,5.61
"94","DRY57_2003_1410",-0.46,6.25333333333333
"95","SLK58_2003_1412",-1.76,6.42
"96","DRY5_2003_1418",1.18,3.62
"97","FOR11_2003_1420",-2,5.735
"98","NIP58_2003_1421",-1.88,6.675
"99","RED90_2003_1422",-0.82,6.45
"100","KEN110_2003_1423",-0.71,7.036
"101","RED68_2003_1428",-3.4,7.035
