"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avg_cmi","avg_vpd","avgBio","cc","age"
"1","KLK9_2004_1508",2004,2004-10-01,274,2003-10-22,294,105,2004-04-15,176,2004-03-28,206.7767384,81.39260588,80.33333588,87,18,169,2.14,5.51142857142857,82.5408401489258,59.7905769348145,91.0957946777344
"2","THU31_2005_1510",2005,2005-07-26,206,2004-10-19,292,107,2005-04-18,180,2005-03-29,153.776764,59.92700134,42.88999939,87,20,99,1.55,6.305,107.234832763672,79.9476852416992,98.3065719604492
"3","HEA63_2005_1511",2005,2005-08-11,222,2004-10-21,294,107,2005-04-18,178,2005-03-27,188.9886487,76.7615575,58.22000122,85,22,115,-3.68,7.48,104.543464660645,66.0616455078125,110.862380981445
"4","TIM19_2005_1512",2005,2005-07-15,195,2004-11-04,308,106,2005-04-17,163,2005-03-26,142.2106616,51.85581556,34.75,84,22,89,-2.89,7.33,34.906436920166,23.6929302215576,54.6067543029785
"5","CHA18_2005_1513",2005,2005-07-18,198,2004-09-29,272,108,2005-04-19,201,2005-03-27,180.3753234,71.09339736,67.16000366,85,23,90,-3.41,7.1575,76.5823287963867,54.1185874938965,92.6109848022461
"6","TIM7_2005_1515",2005,2005-05-27,146,2004-11-13,317,107,2005-04-18,155,2005-03-27,182.0958228,70.43967607,61.02999878,85,22,39,-0.59,4.95,80.3264083862305,62.5608253479004,78.7727584838867
"7","TIM5_2005_1517",2005,2005-05-27,146,2004-09-21,264,100,2005-04-11,201,2005-03-27,174.0226714,65.73929989,60.63500214,85,15,46,-0.43,5.08,81.5326385498047,55.6787490844727,80.8953170776367
"8","FOR14_2005_1514",2005,2005-08-07,218,2004-09-08,251,97,2005-04-08,211,2005-03-22,93.33455112,30.37253427,5.539999962,80,17,121,0.4,6.868,77.4803619384766,59.4845809936523,76.6519393920898
"9","FOR24_2005_1516",2005,2005-08-02,213,2004-10-09,282,101,2005-04-12,184,2005-03-27,99.26597273,33.08059568,13.0425005,85,16,112,0.4,6.882,80.209587097168,58.701961517334,67.8437461853027
"10","SLK40_2005_1534",2005,2005-08-07,218,2004-10-04,277,107,2005-04-18,195,2005-03-29,160.1446363,63.92028874,52.61999893,87,20,111,2.25,5.546,28.1924610137939,30.4382438659668,61.220760345459
"11","SLK25_2005_1535",2005,2005-07-12,192,2004-10-04,277,107,2005-04-18,195,2005-03-29,140.3319024,54.67903675,37.54899979,87,20,85,2.66,5.74,84.2929763793945,70.4226150512695,102.3857421875
"12","NIP104_2005_1536",2005,2005-08-09,220,2004-10-19,292,107,2005-04-18,180,2005-03-29,152.0404794,62.11634995,36.56999969,87,20,113,0.96,6.044,112.87281036377,77.7447814941406,110.317741394043
"13","WAW21_2003_1406",2003,2003-06-21,171,2002-11-02,305,113,2003-04-24,173,2003-04-09,182.1219269,80.69002273,72.40663064,98,15,58,0.35,5.92666666666667,83.2938613891602,54.3035888671875,93.7702941894531
"14","SLK20_2003_1434",2003,2003-05-17,136,2002-11-07,310,122,2003-05-03,177,2003-03-20,105.7795996,49.4120488,58.22000122,78,44,14,-2.94,6.35,107.317153930664,79.8221664428711,81.8260650634766
