"","long","lat","V3","DATE"
"1",-87.21309448,52.84704758,9.78352453043775,"2001-06-09"
"2",-88.4442782,52.80534211,10.7962772679307,"2001-06-09"
"4",-87.8183308,51.56062192,7.29372063287932,"2001-06-09"
"5",-86.99124602,50.91328477,7.17485143973303,"2001-06-09"
"21",-89.56805812,52.64375262,8.96908511177509,"2001-06-09"
"23",-86.88110887,51.2079081,7.24991816281779,"2001-06-09"
"24",-87.32463554,51.14633756,6.89745523768566,"2001-06-09"
"25",-81.14573358,50.13274239,14.115784795867,"2001-06-09"
"3",-87.5077521,52.53058118,10.3637983877906,"2001-06-08"
"18",-87.87330784,53.5222012,7.5936457530758,"2001-06-08"
"37",-88.00507944,53.43660181,7.93328103788249,"2001-06-08"
"8",-89.79030356,54.39311672,10.4606612272127,"2002-07-06"
"13",-89.47780712,54.16032795,10.5846298493872,"2002-07-06"
"33",-89.03806909,53.7999849,9.42825124129879,"2002-07-06"
"9",-91.45448897,54.35433148,3.92869960396257,"2002-07-18"
"48",-87.08660343,53.64804163,4.23346073945011,"2002-07-18"
"54",-94.90590564,51.26665709,5.27947389430087,"2002-07-18"
"55",-88.2715257,51.11873418,4.13320611059943,"2002-07-18"
"73",-88.65903197,53.95319939,4.26454505979169,"2002-07-18"
"10",-90.18209636,54.32829994,2.95989274115151,"2002-07-15"
"50",-93.78255982,53.45708465,5.8587792506537,"2002-07-15"
"72",-93.15085583,51.8027013,6.52018424786801,"2002-07-15"
"75",-91.83137226,53.89786457,4.05973216042745,"2002-07-15"
"85",-93.94121845,53.04800715,6.30041572312027,"2002-07-15"
"11",-92.57621287,54.25494365,3.85035653322171,"2002-07-17"
"51",-92.70637342,53.38687709,4.26997400359721,"2002-07-17"
"52",-93.92545678,51.40937993,5.73683443504529,"2002-07-17"
"61",-94.10436798,53.40378445,5.93441996949814,"2002-07-17"
"63",-90.24629073,53.14982189,3.67737657447976,"2002-07-17"
"67",-93.26874786,52.65142148,5.5607123043099,"2002-07-17"
"76",-91.57018728,53.81266201,3.16686646107084,"2002-07-17"
"78",-92.8799184,53.76598878,4.15866075257586,"2002-07-17"
"84",-86.20558818,53.19939456,3.76569499904132,"2002-07-17"
"86",-93.56164811,52.88068715,5.75521858965423,"2002-07-17"
"12",-91.33847831,54.21531519,10.1973897811439,"2002-07-11"
"44",-80.36617502,50.70802434,4.56850783927494,"2002-07-11"
"14",-89.89665794,54.14698292,3.07647248316079,"2002-07-21"
"15",-91.25430108,54.30459095,6.32928135660643,"2001-07-19"
"22",-91.97562966,52.60640508,2.14274347250991,"2001-07-19"
"34",-91.91762924,54.27564323,6.07457541739355,"2001-07-19"
"16",-91.33678756,54.20610286,13.291734278496,"2001-07-20"
"19",-87.92124593,53.39071137,7.62124439392451,"2001-07-20"
"20",-92.92383887,53.2706496,4.87599949170433,"2001-07-20"
"35",-91.49168555,54.16319932,12.9551573386868,"2001-07-20"
"38",-90.86570969,53.86052482,11.4957840632432,"2001-07-20"
"39",-88.3144607,53.79247616,6.05048597192141,"2001-07-20"
"40",-91.09535045,53.69138129,10.5733039817614,"2001-07-20"
"41",-88.00135622,53.430122,7.57659287282036,"2001-07-20"
"17",-91.35503524,53.99956052,9.96924339438585,"2001-07-15"
"26",-87.17570658,50.06329538,1.21155295454808,"2001-07-23"
"27",-76.88047082,44.81489372,5.86622564286785,"2001-07-27"
"28",-91.35150388,54.19989784,2.77636980289159,"2002-06-27"
"29",-91.39106896,54.19373296,2.79095510405792,"2002-06-27"
"30",-88.85277026,54.00486594,7.87323118338679,"2002-07-08"
"70",-87.84758727,52.12922286,9.40425001494574,"2002-07-08"
"31",-89.83056066,53.85224982,21.5347336149749,"2002-06-18"
"32",-90.32587833,53.79840947,19.5281098167134,"2002-06-18"
"36",-92.6966009,53.68127658,3.84845964171319,"2001-07-17"
"42",-95.07705743,52.71229894,3.26888035165551,"2001-06-20"
"43",-91.75518419,50.92954667,5.85058214555575,"2002-07-13"
"62",-87.28607232,53.38075044,2.43744551317197,"2002-07-13"
"83",-94.05851165,53.40481104,4.68440613698074,"2002-07-13"
"45",-92.98188065,49.99965784,6.56237148132589,"2002-05-31"
"46",-86.9366379,49.05516133,4.68141169987825,"2002-07-16"
"64",-94.01023259,53.08003777,11.0601621821391,"2002-07-16"
"65",-93.49094849,52.78948704,10.9862601105802,"2002-07-16"
"68",-93.58600158,52.38245162,11.0857295116933,"2002-07-16"
"47",-88.52103838,48.49448036,4.18553838779833,"2002-06-02"
"49",-90.00203989,53.50296042,7.4938989867518,"2002-07-09"
"80",-90.91349018,53.59817825,6.93386500985243,"2002-07-09"
"81",-92.68873649,53.48544492,6.23419981022755,"2002-07-09"
"53",-86.43115571,51.18824462,9.25292483086292,"2002-07-10"
"56",-86.13634875,50.84823961,5.85412285257705,"2002-07-05"
"77",-88.94604539,53.81381757,8.72037508783212,"2002-07-05"
"57",-81.32620333,50.1362867,12.1239554439135,"2002-07-01"
"58",-89.39044576,49.60743094,1.22349515256392,"2002-05-23"
"59",-88.16205164,48.66715011,2.04076925521449,"2002-07-19"
"60",-77.49401989,45.90174407,7.71289860790631,"2002-08-11"
"66",-93.37219396,52.72105482,1.81582873892158,"2002-07-14"
"82",-94.05781561,53.41451314,2.4106470800253,"2002-07-14"
"69",-90.64216109,52.20175006,3.43353487627769,"2002-07-04"
"79",-88.99200039,53.75192297,3.7217478722149,"2002-07-04"
"71",-86.65252454,52.10585122,5.37652450626834,"2002-07-12"
"74",-90.35319675,53.91555665,5.64622094207768,"2002-06-28"
"87",-90.14084388,51.48233531,11.5821217844748,"2002-06-30"
"88",-91.98609644,53.98861707,0.914209900907569,"2003-07-05"
"89",-87.55283918,52.56190598,4.22579635765814,"2003-08-16"
"99",-93.15050511,53.80688726,3.33579064887412,"2003-08-16"
"107",-87.36270397,52.47983585,4.29492200880526,"2003-08-16"
"90",-92.03785961,52.27982134,7.03078219066892,"2003-06-22"
"98",-87.62156007,49.91419403,10.5740976703793,"2003-06-22"
"101",-95.11457035,52.14269388,2.90728727124095,"2003-06-22"
"149",-89.77592085,50.81563591,10.3796803931313,"2003-06-22"
"91",-84.52137186,48.9215504,8.22428824714147,"2003-06-21"
"95",-91.60304983,51.49952196,11.678929204639,"2003-06-21"
"112",-90.87662561,51.70642746,12.7936377526455,"2003-06-21"
"124",-85.73737109,49.55261172,8.69556810689175,"2003-06-21"
"92",-87.27323846,53.33957245,3.63589919701124,"2003-07-15"
"93",-86.17608714,49.36804179,4.52769166675065,"2003-06-15"
"94",-91.23453622,49.22891386,9.45937070669607,"2003-06-20"
"97",-94.54737949,48.806977,8.58500873122084,"2003-05-01"
"100",-94.78447226,49.87461828,3.25152681403553,"2003-08-19"
"151",-93.74462987,53.61933549,6.30842583029824,"2003-08-19"
