"","Response","Predictor","Estimate","SE","DF","t-Value","P-Value","Std. Estimate",""
"1","RBR median","dc",0.199,0.137,153,1.446,"0.15",0.162,""
"2","RBR median","tssm",-0.84,0.392,153,-2.142,"0.034",-0.24,"*"
"3","RBR median","sdd",-0.169,0.712,153,-0.238,"0.812",-0.026,""
"4","RBR median","tri",0.979,0.723,153,1.354,"0.178",0.105,""
"5","RBR median","age",-0.055,0.597,153,-0.092,"0.927",-0.009,""
"6","RBR median","avgBio",0.346,0.437,153,0.792,"0.43",0.077,""
"7","tssm","sdd",-1.12,0.148,154,-7.573,"<0.001",-0.612,"***"
"8","tssm","tri",0.056,0.112,154,0.504,"0.615",0.021,""
"9","tssm","dc",0.267,0.015,154,17.7,"<0.001",0.76,"***"
"10","tssm","age",0.288,0.092,154,3.12,"0.002",0.167,"**"
"11","tssm","avgBio",-0.103,0.067,154,-1.537,"0.126",-0.081,""
"12","sdd","avgBio",-0.084,0.033,156,-2.577,"0.011",-0.12,"*"
"13","sdd","age",0.217,0.043,156,5.075,"<0.001",0.23,"***"
"14","sdd","tri",-0.083,0.055,156,-1.512,"0.132",-0.057,""
