"","Response","Predictor","Estimate","SE","DF","t-Value","P-Value","Std. Estimate",""
"1","rbr qs","dc",-0.006,0.002,636,-2.598,"0.01",-0.162,"**"
"2","rbr qs","tssm",0.049,0.009,636,5.572,"<0.001",0.391,"***"
"3","rbr qs","sdd",0.002,0.016,636,0.135,"0.893",0.008,""
"4","rbr qs","tri",-0.01,0.014,636,-0.684,"0.494",-0.028,""
"5","rbr qs","age",-0.037,0.014,636,-2.606,"0.009",-0.14,"**"
"6","rbr qs","avgBio",0.007,0.01,636,0.677,"0.499",0.037,""
"7","tssm","sdd",-0.745,0.062,639,-11.921,"<0.001",-0.338,"***"
"8","tssm","tri",-0.042,0.052,639,-0.801,"0.423",-0.016,""
"9","tssm","dc",0.212,0.007,639,28.25,"<0.001",0.666,"***"
"10","sdd","avgBio",-0.204,0.023,639,-8.992,"<0.001",-0.3,"***"
"11","sdd","age",0.259,0.032,639,8.221,"<0.001",0.27,"***"
"12","sdd","tri",-0.069,0.031,639,-2.185,"0.029",-0.056,"*"
