"","Response","Predictor","Estimate","SE","DF","t-Value","P-Value","Std. Estimate",""
"1","RBR median","dc",0.199,0.137,153,1.446,"0.15",0.162,""
"2","RBR median","tssm",-0.84,0.392,153,-2.142,"0.034",-0.24,"*"
"3","RBR median","sdd",-0.169,0.712,153,-0.238,"0.812",-0.026,""
"4","RBR median","tri",0.979,0.723,153,1.354,"0.178",0.105,""
"5","RBR median","age",-0.055,0.597,153,-0.092,"0.927",-0.009,""
"6","RBR median","avgBio",0.346,0.437,153,0.792,"0.43",0.077,""
"7","tssm","sdd",-1.077,0.146,155,-7.378,"<0.001",-0.588,"***"
"8","tssm","tri",0.006,0.107,155,0.056,"0.955",0.002,""
"9","tssm","dc",0.267,0.015,155,17.617,"<0.001",0.76,"***"
"10","tssm","age",0.194,0.07,155,2.786,"0.006",0.113,"**"
"11","sdd","avgBio",-0.084,0.033,156,-2.577,"0.011",-0.12,"*"
"12","sdd","age",0.217,0.043,156,5.075,"<0.001",0.23,"***"
"13","sdd","tri",-0.083,0.055,156,-1.512,"0.132",-0.057,""
